DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-03-01,0.53,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-03-01,1.97,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-04-01,0.48,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-04-01,1.77,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-05-01,0.45,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-05-01,2.18,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-06-01,0.33,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-06-01,2.74,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-07-01,0.28,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-07-01,2.64,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-08-01,0.29,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-08-01,3.16,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-09-01,0.37,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-09-01,2.96,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-10-01,0.4,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-10-01,3.47,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-11-01,0.31,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-11-01,3.39,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-12-01,0.19,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-12-01,2.98,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2019-01-01,0.13,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2019-01-01,2.77,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2019-02-01,0.06,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2019-02-01,2.81,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2019-03-01,0.01,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2019-03-01,2.69,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2019-04-01,-0.04,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2019-04-01,2.62,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2019-05-01,-0.13,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2019-05-01,2.64,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2019-06-01,-0.31,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2019-06-01,2.28,,
